email,label
"Objet : Suspension de votre compte Ameli Pro
Votre accès a été suspendu pour activité suspecte. Veuillez vous reconnecter via ce lien sécurisé pour éviter une désactivation définitive.",1
"Objet : Mise à jour urgente - Portail CNAM
Un problème de sécurité nécessite une mise à jour immédiate de vos informations. Cliquez ici pour valider vos identifiants.",1
"Objet : Rappel paiement URSSAF
Suite à un incident de prélèvement, veuillez régulariser votre situation sous 48h via ce lien.",1
"Objet : Confirmation de rendez-vous ARS
Veuillez confirmer votre rendez-vous administratif avec l'ARS sous peine d'amende.",1
"Objet : Nouvelle directive COVID-19
Téléchargez dès maintenant le formulaire obligatoire mis à jour pour les professionnels de santé.",1
"Objet : Notification Carte CPS désactivée
Votre carte CPS a été temporairement suspendue. Connectez-vous pour en réactiver l’usage.",1
"Objet : Rejet de dossier Ségur Numérique
Votre demande a été rejetée. Cliquez ici pour revoir les pièces justificatives manquantes.",1
"Objet : Changement de protocole sécurisé DMP
Un nouveau certificat est requis. Merci de le télécharger ici.",1
"Objet : Mise à jour des cotisations RSI
Une anomalie a été détectée dans vos déclarations. Vérifiez votre espace pro maintenant.",1
"Objet : Nouvelle recommandation HAS
Accédez en priorité à cette publication confidentielle concernant la prescription de vaccins.",1
"Objet : Fichier de remboursement erroné
Merci de valider à nouveau vos fichiers de télétransmission AMO.",1
"Objet : Inspection à distance ARS
Une session de contrôle sera effectuée par vidéo. Veuillez télécharger le logiciel de conformité ici.",1
"Objet : Prime exceptionnelle COVID non versée
Vous êtes éligible à une prime complémentaire. Cliquez ici pour soumettre vos RIB.",1
"Objet : Incident de facturation Sesam-Vitale
Veuillez relancer l’importation du bordereau mensuel.",1
"Objet : Formulaire obligatoire DGS
Remplissez ce formulaire numérique obligatoire avant le 28 du mois.",1
"Objet : Certificat de vaccination expiré
Le certificat rattaché à votre cabinet n’est plus valide. Suivez les étapes ici.",1
"Objet : Validation RPPS
Une vérification annuelle est requise pour le maintien de votre RPPS. Connectez-vous ici.",1
"Objet : Suspension AG2R
Votre mutuelle partenaire suspend son partenariat. Téléchargez la procédure d’ajustement.",1
"Objet : Nouvelle convention CPAM 2024
Votre cabinet est concerné par une mise à jour automatique. Téléchargez ici.",1
"Objet : Téléchargement de documents manquants
Vos pièces justificatives ne sont pas à jour. Cliquez pour régulariser.",1
"Objet : Accès au nouveau portail MSSanté
Validez votre email professionnel pour accéder au nouveau portail sécurisé.",1
"Objet : Vérification des e-prescriptions
Vos e-prescriptions récentes présentent une anomalie. Corrigez-les via ce lien.",1
"Objet : Conflit de facturation AMO/AMC
Une incohérence a été signalée. Connectez-vous pour résolution.",1
"Objet : Obligation de formation DPC
Une formation manquante empêche votre prise en charge. Téléchargez le contenu ici.",1
"Objet : Mise à jour de votre logiciel métier
Téléchargez ici la version conforme aux dernières normes DGFIP.",1
"Objet : Changement de mot de passe exigé
Votre mot de passe expirera sous 24h. Modifiez-le immédiatement.",1
"Objet : Activité inhabituelle sur votre identifiant e-CPS
Confirmez votre identité pour continuer à utiliser le service.",1
"Objet : Alerte ARS – usage frauduleux constaté
Cliquez ici pour signaler l’incident.",1
"Objet : Nouveau partenariat avec l'Assurance Maladie
Remplissez ce formulaire pour recevoir votre nouvelle accréditation.",1
"Objet : Téléversement automatique désactivé
Un problème de sécurité empêche la télétransmission. Téléchargez le patch correctif ici.",1
"Objet : Réunion de coordination secteur 4
La réunion du groupement de professionnels se tiendra jeudi à 19h.",0
"Objet : Mise à jour du logiciel médical
La version 3.2.1 est disponible avec correction de bugs mineurs.",0
"Objet : Nouvelle recommandation de la HAS
La HAS recommande l’adaptation des posologies pour les enfants en bas âge.",0
"Objet : Invitation à une formation DPC
Inscrivez-vous à notre formation validante sur les troubles musculo-squelettiques.",0
"Objet : Facturation de vos actes du mois
Votre bordereau de télétransmission est disponible.",0
"Objet : Nouveaux créneaux de vaccination
Le centre de santé vous propose de nouveaux créneaux dédiés aux soignants.",0
"Objet : Confirmation de rendez-vous ARS
Votre rendez-vous du 4 juin à 10h est bien confirmé.",0
"Objet : Communication du Ministère de la Santé
Veuillez trouver ci-joint le bilan de l’année 2024.",0
"Objet : Nouvelle convention médicale
Accord signé pour une revalorisation des actes techniques.",0
"Objet : Transmission de votre attestation de formation
Merci de trouver ci-joint votre attestation DPC validée.",0
"Objet : Mise à jour de l'agenda partagé
Un nouveau patient a été ajouté à votre planning du vendredi.",0
"Objet : Bulletin mensuel de la CPTS
Retrouvez les dernières infos de votre communauté de santé.",0
"Objet : Nouvelle messagerie MSSanté
La migration est effective, utilisez dès maintenant vos nouveaux accès.",0
"Objet : Résultats d’analyses du patient M.Dupont
Veuillez consulter les résultats via notre plateforme sécurisée.",0
"Objet : Rapport annuel de l'ARS
Merci de transmettre vos indicateurs d’activité avant le 30 juin.",0
"Objet : Rappel : réunion de coordination
Rendez-vous mardi 14h salle 203, étage 2, avec le Dr Brunet.",0
"Objet : Commande de matériel validée
Votre commande de gants nitrile et de blouses a été expédiée.",0
"Objet : Prise en charge ALD acceptée
Le dossier du patient X. Martin a été validé par la CPAM.",0
"Objet : Retour de la pharmacie hospitalière
La prescription est bien conforme, les médicaments sont disponibles.",0
"Objet : Confirmation téléconsultation
Votre créneau de téléconsultation de vendredi est confirmé.",0
"Objet : Suivi du patient R.Besson
Le médecin coordonnateur a renseigné l'évolution du dossier médical.",0
"Objet : Résiliation d’un contrat de prestation
Le prestataire de nettoyage a mis fin à son contrat. Voir pièce jointe.",0
"Objet : Nouvelle directive sur les soins palliatifs
Disponible en téléchargement via notre intranet professionnel.",0
"Objet : Indisponibilité temporaire du téléservice
Le service AmeliPro sera en maintenance ce week-end.",0
"Objet : Mise à jour de votre fiche annuaire
Merci de vérifier vos coordonnées professionnelles.",0
"Objet : Enquête de satisfaction
Merci de répondre à ce questionnaire sur vos conditions d'exercice.",0
"Objet : Arrêt maladie de Mme Arnaud
Merci d’ajuster les rendez-vous planifiés ce jeudi.",0
"Objet : Ajout d’un nouveau professionnel dans l’équipe
Le Dr Raynal intégrera l’unité de soins à partir du 1er juillet.",0
"Objet : Retour du laboratoire d’analyses
Aucune anomalie détectée. Dossier archivé.",0
"Objet : Support technique MSSanté
Nous avons résolu votre ticket concernant l’erreur de synchronisation.",0
